tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
2002,T-62,Russia,RUS,3,Group stage,4 players tied,1
2002,T-63,Saudi Arabia,SAU,3,Group stage,No goals scored,0
2002,T-65,Senegal,SEN,5,Quarter-finals,Papa Bouba Diop,3
2002,T-69,Slovenia,SVN,3,Group stage,2 players tied,1
2002,T-70,South Africa,ZAF,3,Group stage,5 players tied,1
2002,T-71,South Korea,KOR,7,Semi-finals,Ahn Jung-hwan,2
2002,T-73,Spain,ESP,5,Quarter-finals,2 players tied,3
2002,T-74,Sweden,SWE,4,Round of 16,Henrik Larsson,3
2002,T-79,Tunisia,TUN,3,Group stage,Raouf Bouzaiene,1
2002,T-80,Turkey,TUR,7,Third place,İlhan Mansız,3
2002,T-83,United States,USA,5,Quarter-finals,2 players tied,2
2002,T-84,Uruguay,URY,3,Group stage,4 players tied,1
2006,T-02,Angola,AGO,3,Group stage,Flávio Amado,1
2006,T-03,Argentina,ARG,5,Quarter-finals,2 players tied,3
2006,T-04,Australia,AUS,4,Round of 16,Tim Cahill,2
2006,T-09,Brazil,BRA,5,Quarter-finals,Ronaldo,3
2006,T-17,Costa Rica,CRI,3,Group stage,Paulo Wanchope,2
2006,T-18,Croatia,HRV,3,Group stage,2 players tied,1
2006,T-20,Czech Republic,CZE,3,Group stage,Tomáš Rosický,2
2006,T-25,Ecuador,ECU,4,Round of 16,2 players tied,2
2006,T-28,England,ENG,5,Quarter-finals,Steven Gerrard,2
2006,T-30,France,FRA,7,Runner-up,2 players tied,3
2006,T-31,Germany,DEU,7,Third place,Miroslav Klose,5
2006,T-32,Ghana,GHA,4,Round of 16,4 players tied,1
2006,T-38,Iran,IRN,3,Group stage,2 players tied,1
2006,T-41,Italy,ITA,7,Champion,2 players tied,2
2006,T-42,Ivory Coast,CIV,3,Group stage,Aruna Dindane,2
2006,T-44,Japan,JPN,3,Group stage,2 players tied,1
2006,T-46,Mexico,MEX,4,Round of 16,Omar Bravo,2
2006,T-48,Netherlands,NLD,4,Round of 16,3 players tied,1
2006,T-55,Paraguay,PRY,3,Group stage,Nelson Cuevas,1
2006,T-57,Poland,POL,3,Group stage,Bartosz Bosacki,2
2006,T-58,Portugal,PRT,7,Semi-finals,Maniche,2
2006,T-63,Saudi Arabia,SAU,3,Group stage,2 players tied,1
2006,T-67,Serbia and Montenegro,SCG,3,Group stage,2 players tied,1
2006,T-71,South Korea,KOR,3,Group stage,3 players tied,1
2006,T-73,Spain,ESP,4,Round of 16,Fernando Torres,3
2006,T-74,Sweden,SWE,4,Round of 16,3 players tied,1
2006,T-75,Switzerland,CHE,4,Round of 16,Alexander Frei,2
2006,T-77,Togo,TGO,3,Group stage,Mohamed Kader,1
2006,T-78,Trinidad and Tobago,TTO,3,Group stage,No goals scored,0
2006,T-79,Tunisia,TUN,3,Group stage,3 players tied,1
2006,T-81,Ukraine,UKR,5,Quarter-finals,Andriy Shevchenko,2
2006,T-83,United States,USA,3,Group stage,2 players tied,1
2010,T-01,Algeria,DZA,3,Group stage,No goals scored,0
2010,T-03,Argentina,ARG,5,Quarter-finals,Gonzalo Higuaín,4
2010,T-04,Australia,AUS,3,Group stage,Brett Holman,2
2010,T-09,Brazil,BRA,5,Quarter-finals,Luís Fabiano,3
2010,T-11,Cameroon,CMR,3,Group stage,Samuel Eto'o,2
2010,T-13,Chile,CHL,4,Round of 16,3 players tied,1
2010,T-22,Denmark,DNK,3,Group stage,3 players tied,1
2010,T-28,England,ENG,4,Round of 16,3 players tied,1
2010,T-30,France,FRA,3,Group stage,Florent Malouda,1
2010,T-31,Germany,DEU,7,Third place,Thomas Müller,5
2010,T-32,Ghana,GHA,5,Quarter-finals,Asamoah Gyan,3
2010,T-33,Greece,GRC,3,Group stage,2 players tied,1
2010,T-35,Honduras,HND,3,Group stage,No goals scored,0
2010,T-41,Italy,ITA,3,Group stage,4 players tied,1
2010,T-42,Ivory Coast,CIV,3,Group stage,4 players tied,1
2010,T-44,Japan,JPN,4,Round of 16,Keisuke Honda,2
2010,T-46,Mexico,MEX,4,Round of 16,Javier Hernández,2
2010,T-48,Netherlands,NLD,7,Runner-up,Wesley Sneijder,5
2010,T-49,New Zealand,NZL,3,Group stage,2 players tied,1
2010,T-50,Nigeria,NGA,3,Group stage,Kalu Uche,2
