tournament_year,team_id,team_name,team_code,count_matches,performance
1998,T-11,Cameroon,CMR,3,group stage
1998,T-13,Chile,CHL,4,round of 16
1998,T-16,Colombia,COL,3,group stage
1998,T-18,Croatia,HRV,7,third-place match
1998,T-22,Denmark,DNK,5,quarter-finals
1998,T-28,England,ENG,4,round of 16
1998,T-30,France,FRA,7,final
1998,T-31,Germany,DEU,5,quarter-finals
1998,T-38,Iran,IRN,3,group stage
1998,T-41,Italy,ITA,5,quarter-finals
1998,T-43,Jamaica,JAM,3,group stage
1998,T-44,Japan,JPN,3,group stage
1998,T-46,Mexico,MEX,4,round of 16
1998,T-47,Morocco,MAR,3,group stage
1998,T-48,Netherlands,NLD,7,third-place match
1998,T-50,Nigeria,NGA,4,round of 16
1998,T-53,Norway,NOR,4,round of 16
1998,T-55,Paraguay,PRY,4,round of 16
1998,T-61,Romania,ROU,4,round of 16
1998,T-63,Saudi Arabia,SAU,3,group stage
1998,T-64,Scotland,SCO,3,group stage
1998,T-70,South Africa,ZAF,3,group stage
1998,T-71,South Korea,KOR,3,group stage
1998,T-73,Spain,ESP,3,group stage
1998,T-79,Tunisia,TUN,3,group stage
1998,T-83,United States,USA,3,group stage
1998,T-87,Yugoslavia,YUG,4,round of 16
2002,T-03,Argentina,ARG,3,group stage
2002,T-06,Belgium,BEL,4,round of 16
2002,T-09,Brazil,BRA,7,final
2002,T-11,Cameroon,CMR,3,group stage
2002,T-14,China,CHN,3,group stage
2002,T-17,Costa Rica,CRI,3,group stage
2002,T-18,Croatia,HRV,3,group stage
2002,T-22,Denmark,DNK,4,round of 16
2002,T-25,Ecuador,ECU,3,group stage
2002,T-28,England,ENG,5,quarter-finals
2002,T-30,France,FRA,3,group stage
2002,T-31,Germany,DEU,7,final
2002,T-41,Italy,ITA,4,round of 16
2002,T-44,Japan,JPN,4,round of 16
2002,T-46,Mexico,MEX,4,round of 16
2002,T-50,Nigeria,NGA,3,group stage
